Index,Item,Type,Actuals_24_25,Budget_25_26,Revised_25_26,Budget_26_27,Percent_Change
29,अनर!#ण रजव,,1062578.95,1163481.51,935252.02,1205353.91,3.6
,"पुज3( """,,200000.0,300720.0,300720.0,400726.85,33.26
30,विनवश- /ऋण पुज3(,,6200836.32,8752622.89,7894065.08,9686521.46,10.67
2024,2025,,-2026.0,2025.0,-2026.0,2026.0,-2027.0
31,सहयत अनद! न - समेंन्य (वेतन) रजव,,6949507.08,8816389.99,7074114.0,8099576.6,-8.13
32,Xयज/लभ3श रजव,,5326348.68,6019183.15,5645481.21,6603741.89,9.71
33,पुश न/आनत! Hविर्षका/अन्यसव- विनवविRत्ता विहतलभ रजव,,6475008.4,8988505.99,7033557.65,10084816.02,12.2
35,"पुज+( ""गत पुरिरसम्पुवित्तायI का- सजR न हत- !अनद! न रजव",,1017539.25,1918976.96,1573752.77,2100240.1,9.45
36,बट्टा खत/हविनय3 रजव,,0.0,0.2,0.2,0.2,0.0
37,उचन्त रजव,,0.0,0.01,0.01,0.01,0.0
,"पुज3( """,,3.55,0.0,0.0,0.0,0.0
38,अन्तरिरमें सहयत रजव,,1.92,211.32,211.32,211.3,-0.01
39,और्षवि) त रसयन रजव,,170948.81,191629.17,193097.17,204252.98,6.59
40,"और्ष)लय सम्बन्)"" आवश्यका सज्ज रजव",,9804.47,9858.01,9858.01,9952.44,0.96
41,भHजन व्यय रजव,,39020.45,54366.25,54366.25,56560.15,4.04
42,अन्य व्यय रजव,,2833678.79,4507426.92,4218062.83,6844137.29,51.84
,"पुज3( """,,1033407.5,1580934.29,1584045.12,1551040.84,-1.89
43,"समेंग्री"" एव 3सम्पुवि(त& रजव",,278942.21,487152.93,487822.4,484101.58,-0.63
,"पुज3( """,,1034480.44,1723503.0,1723503.0,1757503.0,1.97
44,प्रविश#ण हत- !यत्रा एव 3अन्य प्रसवि3गका व्यय रजव,,15807.8,34005.91,34256.05,39057.96,14.86
,"पुज3( """,,0.0,0.33,0.33,1.0,203.03
45,अवकाश यात्रा व्यय रजव,,961.35,2666.91,2666.91,2868.93,7.58
46,काम्प्यट(र हडी&वय- र/सफ्टवय- र का क्रय रजव,,32351.27,51054.18,56409.76,49060.59,-3.9
,"पुज3( """,,13659.61,15762.02,15876.7,14920.36,-5.34
47,"काम्प्यट(र अनर!#ण/तत्सम्बन्)"" ट-शनर"" का क्रय रजव",,13448.07,19913.53,20196.16,22410.15,12.54
,"पुज3( """,,315.42,1050.0,1050.0,880.0,-16.19
48,अन्तलखb  सक्र3 मेंण रजव,,804291.07,1377822.91,1377822.91,920510.0,-33.19
,"पुज3( """,,301623.0,280000.0,280000.0,300000.0,7.14
49,विचविकात्स व्यय रजव,,181524.85,193217.13,193275.08,225638.52,16.78
50,मेंह3 गई वेतन रजव,,0.0,0.0,0.0,0.1,0.0
51,वदD व्यय रजव,,3150.77,6337.29,6337.29,6832.61,7.82
52,"पुन! र""वि#त वेतन का अवशर्ष- (रजका""य) रजव",,1182.8,719.17,719.17,497.6,-30.81
