Index,Item,Type,Actuals_24_25,Budget_25_26,Revised_25_26,Budget_26_27,Percent_Change
49,विचविकात्स व्यय,राजस्व,181524.85,193217.13,193275.08,225638.52,16.78
50,मेंह3 गई वेतन,राजस्व,0.0,0.0,0.0,0.1,0.0
51,वदD व्यय,राजस्व,3150.77,6337.29,6337.29,6832.61,7.82
52,"पुन! र""वि#त वेतन का अवशर्ष- (रजका""य)",राजस्व,1182.8,719.17,719.17,497.6,-30.81
53,"पुन! र""वि#त वेतन का अवशर्ष- (रज्य सहयत)",राजस्व,408.3,3649.44,3649.44,2290.04,-37.25
54,पुश न अवशर्ष- I का भग! तन,राजस्व,0.0,0.08,0.08,0.08,0.0
55,मेंकान विकारय भत्ता,राजस्व,160435.0,289786.1,234965.15,301093.66,3.9
56,नगर प्रवितकार भत्ता,राजस्व,0.0,0.01,0.01,0.0,-100.0
57,"प्रस्थिQcटस बन्द"" भत्ता",राजस्व,25370.79,58443.48,58443.48,58192.54,-0.43
58,आउट सHविसग& सव- ओं हत- !भग! तन,राजस्व,136750.37,179693.07,183700.67,222383.65,23.76
58,आउट सHविसग& सव- ओं हत- !भग! तन,पूँजी,175.08,173.37,173.37,103.37,-40.38
59,एकामेंश्!त विनयHक्ता अश3 दन / विनयHक्ता एव 3,राजस्व,0.0,458335.18,458335.18,462028.16,0.81
60,भवि(में क्रय,पूँजी,461803.59,736106.09,814891.95,839617.39,14.06
61,"का-न्द्र प्रयHविजत यHजनओं का"" )नरविश का",राजस्व,181248.61,249486.82,249486.82,310629.26,24.51
62,"का-न्द्र प्रयHविजत यHजनओं में भग! तविनत वेतन का""",राजस्व,0.0,-7720.68,-7720.68,-26112.36,238.21
63,समेंविजका पुश न,राजस्व,0.0,1364813.26,1418313.26,1532464.69,12.28
64,रिरसच &एण्डी डीव- लपुमेंन्ट,राजस्व,0.0,0.0,100.0,1401.0,0.0
